,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
11094,11095,12,20487,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,36,32,6,2,114,100,15,346,333,48,16,13,3
16022,16023,13,65770,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,3,3,1,1,58,57,2,74,68,5,2,1,1
26585,26586,19,64867,1,2,0,2,2,1,1,2,1,1,2,0,2,4,1,3,0,54,5,51,2,1231,22,1210,10016,168,10198,31,1,30
32657,32658,23,101663,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,7,2,7,2,91,11,86,995,218,3858,13,1,13
63760,63761,77,109186,1,2,1,2,6,0,6,1,1,1,7,0,7,8,1,8,1,22,9,16,3,91,35,59,345,93,292,10,1,9
72121,72122,90,126067,1,1,0,1,4,1,4,2,1,1,3,0,3,5,1,5,1,15,5,11,1,229,129,192,3925,1898,4246,14,2,13
74066,74067,99,129034,1,1,1,1,5,3,2,0,0,0,6,4,2,6,4,3,1,54,53,5,4,251,243,10,1120,1316,49,15,12,3
60226,60227,70,64564,1,3,3,1,9,9,0,1,0,0,11,11,0,12,12,1,1,1555,1555,1,1,4565,4565,1,504966,528589,143,212,211,1
11443,11444,12,68954,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,11,5,5,2,1,1
56314,56315,63,32289,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,8,8,4,4,56,50,7,172,240,29,20,19,1
32563,32564,23,101492,1,3,0,3,15,1,14,1,1,1,17,0,17,18,1,17,0,19,8,14,3,114,71,44,482,340,844,47,12,35
68978,68979,88,113791,1,6,0,6,8,2,6,1,1,1,13,1,12,14,2,12,0,204,8,199,3,9064,45,9037,21351,146,22048,62,3,59
38032,38033,32,71834,1,2,0,2,9,1,8,1,1,1,10,0,10,11,1,10,0,28,25,6,3,34,26,10,1177,1476,216,22,12,10
54756,54757,57,76093,1,0,0,0,19,19,1,1,0,0,18,18,0,19,19,1,1,35,35,1,1,91,91,1,437,449,6,30,29,1
78380,78381,103,142100,1,1,0,1,120,1,120,1,1,1,120,0,120,121,1,121,1,496,1,496,1,8065,1,8065,99727,9,1570831,1625,1,1624
25669,25670,19,40990,1,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,6,1,6,1,12,1,12,839,3,5124,24,1,23
33810,33811,25,3425,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,59,2,58,1,310,2,309,9959,24,12612,14,1,13
60044,60045,70,63551,1,2,1,1,1,0,1,2,1,1,1,0,1,3,1,2,0,27,6,22,1,59,9,51,655,167,893,16,2,14
44200,44201,45,14873,1,1,1,0,2,1,2,1,1,1,2,1,1,3,2,2,1,24,15,13,4,433,357,79,2374,2070,352,11,3,8
13802,13803,13,49472,1,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,11,1,11,1,13,1,13,92,2,124,4,1,3
5994,5995,9,9481,1,0,0,0,6,2,4,0,0,0,6,2,4,3,1,2,0,7,7,2,2,77,77,2,181,284,86,13,11,2
17427,17428,13,82076,1,2,0,2,7,1,7,2,1,1,7,0,7,9,1,9,1,30,1,30,1,1139,255,888,11131,1435,22815,17,1,17
11224,11225,12,23605,1,2,2,1,0,0,0,2,1,1,0,0,0,2,2,1,1,8,6,4,2,16,12,5,67,56,14,4,3,1
26455,26456,19,61965,1,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,34,28,10,4,54,42,15,847,2470,250,23,21,2
72128,72129,90,126083,1,2,1,1,1,1,0,2,1,1,1,1,0,3,2,1,0,51,10,43,2,1055,581,478,8032,2605,20562,31,10,21
26792,26793,19,74936,1,1,0,1,4,1,4,1,1,1,4,0,4,5,1,5,1,129,3,129,3,500,4,497,2685,8,6806,77,2,75
26985,26986,19,79376,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,54,44,29,19,104,60,65,535,160,602,32,5,27
23803,23804,17,69082,1,3,3,1,10,9,1,1,0,0,12,12,0,13,12,2,1,111,109,8,6,389,380,13,4085,5717,62,70,68,2
32794,32795,23,102169,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,32,25,10,3,34,26,11,1324,992,351,3,2,1
6217,6218,9,17031,1,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,1,1,1,1,17,17,14,73,62,56,2,1,1
34240,34241,25,43734,1,0,0,0,15,14,1,2,1,1,13,13,0,15,14,1,0,172,172,1,1,4024,4023,2,10753,12260,43,117,115,2
68785,68786,88,112826,1,4,4,0,9,8,1,1,0,0,12,12,0,13,12,1,0,109,109,2,2,248,246,3,1145,1611,130,33,28,5
11650,11651,12,75169,1,1,1,1,5,5,0,1,0,0,5,5,0,6,6,1,1,40,40,1,1,184,184,1,1655,2507,6,45,44,1
36465,36466,31,35675,1,1,1,1,5,0,5,1,1,1,5,0,5,6,1,6,1,24,15,10,1,83,54,30,489,351,186,10,3,7
26831,26832,19,76794,1,4,0,4,51,1,51,1,1,1,54,0,54,55,1,55,1,644,6,643,5,4294,17,4284,119521,244,638672,1193,3,1190
34501,34502,25,74888,1,0,0,0,3,1,2,2,1,1,1,0,1,3,1,2,0,142,18,141,18,742,448,268,1320,848,346,7,1,6
11095,11096,12,20511,1,1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,1,43,42,4,3,146,136,11,1807,1824,36,21,18,3
64666,64667,78,107671,1,1,0,1,22,1,21,1,1,1,22,0,22,23,1,22,0,12,1,12,1,31,1,31,227,4,233,29,1,28
27288,27289,19,80704,1,1,1,0,4,3,2,2,1,2,3,2,1,5,4,2,1,105,104,3,2,655,654,3,2968,3050,5,37,34,3
49410,49411,55,29056,1,2,1,2,2,0,2,1,1,1,3,0,3,4,1,4,1,20,4,20,4,72,22,51,546,114,725,25,2,23
40053,40054,33,74643,1,1,0,1,23,1,23,1,1,1,23,0,23,24,1,24,1,58,2,57,1,158,4,155,1521,16,1946,43,1,42
29253,29254,23,19322,1,2,1,2,1,1,0,1,0,0,2,2,0,3,2,2,1,3,2,3,2,7,3,5,11,4,6,8,3,5
58577,58578,68,68969,1,1,1,1,2,1,1,2,1,1,1,0,1,3,2,2,1,6,2,5,1,237,4,234,14887,14508,401,19,2,17
64134,64135,78,104542,1,0,0,0,6,1,5,1,1,1,5,0,5,6,1,5,0,2,1,2,1,6,1,6,21,8,29,8,1,7
10790,10791,12,7092,1,1,1,0,1,1,1,1,0,0,1,1,0,2,2,1,1,20,18,4,2,49,42,8,407,346,60,10,9,1
10738,10739,12,4026,1,1,1,1,2,2,1,0,0,0,3,3,0,3,3,2,2,44,28,19,3,100,48,53,2418,3837,7815,32,13,19
17532,17533,13,82378,1,5,1,4,20,0,20,2,1,1,23,0,23,25,1,24,0,133,49,128,44,3637,1606,2848,20862,4323,84668,177,2,175
27174,27175,19,80186,1,1,0,1,3,1,3,1,1,1,3,0,3,4,1,4,1,81,3,79,1,93,4,90,1186,7,1241,20,1,19
8751,8752,9,69873,1,0,0,0,14,14,2,0,0,0,14,14,0,7,7,1,1,52,46,11,5,245,220,26,36838,79676,3324,94,79,15
33667,33668,24,54830,1,1,0,1,15,1,14,1,1,1,15,0,15,16,1,15,0,37,5,35,3,504,6,501,3548,2359,13788,70,4,66
40585,40586,36,71884,1,4,1,3,1,0,1,2,1,1,3,0,3,5,1,4,0,74,29,49,4,162,63,101,3023,850,2589,16,11,5
