,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
35090,35091,28,83394,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,8,0,8,1,0,1
38986,38987,32,96876,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
3878,3879,7,74304,0,1,0,1,1,0,1,2,2,1,0,0,0,2,0,2,0,2,0,2,0,3,0,3,31,0,31,2,0,2
862,863,2,29317,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,9,9,0,0,10,10,0,684,684,0,1,1,0
10014,10015,9,99716,0,0,0,0,12,12,2,0,0,0,12,12,0,6,6,1,1,6,5,1,0,49,48,1,118,232,4,18,17,1
77486,77487,102,129632,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,5,5,0,878,878,0,1,1,0
8091,8092,9,46147,0,0,0,0,46,44,2,0,0,0,46,44,2,23,22,1,0,33,32,1,0,129,127,2,523,1058,8,38,37,1
47018,47019,46,95696,0,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,5,4,1,0,8,7,1,75,121,11,4,3,1
48906,48907,54,55727,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,11,11,0,11,11,0,1,1,0
47550,47551,48,6655,0,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,21,20,1,0,42,41,1,262,348,2,11,10,1
52405,52406,57,27298,0,1,1,0,3,3,0,4,1,4,0,0,0,4,4,0,0,13,13,0,0,32,32,0,970,1870,0,10,10,0
64882,64883,78,108435,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,6,6,0,1,1,0
25755,25756,19,42832,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,7,7,0,0,15,15,0,347,769,0,6,6,0
63421,63422,77,105110,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,4,0,4,5,0,5,1,0,1
19841,19842,16,18852,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,26,26,0,0,48,48,0,77,77,0,2,2,0
8966,8967,9,89706,0,0,0,0,6,4,2,0,0,0,6,4,2,3,2,1,0,2,2,1,1,14,13,1,16,30,2,5,4,1
78045,78046,103,131686,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,6,4,2,14,7,7,3,2,1
2191,2192,7,8148,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
76739,76740,101,143001,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
12953,12954,13,29262,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
8839,8840,9,70954,0,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,1,1,1,1,2,1,1,2,2,2,2,1,1
26362,26363,19,59168,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,26,26,0,47,47,0,1,1,0
