"","id","project_id","loc","ms_computed","ms_ignored","ms_conflicted","number_of_files","number_of_chunks","number_of_commits","number_of_developers","num_of_distinct_files"
"1",69,2,291315,1483,175,45,36667,232398,7017,438,5338
"2",23,5,8753,172,4,22,1628,10331,927,198,223
"3",21,6,108705,177,5,9,3515,5599,1559,254,706
"4",11,7,23456,3202,36,60,16582,56471,12781,2914,781
"5",67,8,6592,592,7,35,1932,20275,3876,808,222
"6",10,9,145229,4665,180,108,52875,331591,16550,1087,2876
"7",29,10,23185,256,64,37,4363,44257,6726,635,141
"8",8,11,122392,167,4,15,2383,18837,4300,528,551
"9",13,12,45441,1073,6,432,39199,181802,5133,338,1843
"10",14,13,83779,6636,115,422,141365,1449755,25713,1784,5916
"11",22,14,16077,251,3,42,31814,192537,18425,2616,4082
"12",48,15,2299,275,10,19,1404,14863,1961,382,201
"13",19,16,131913,4259,120,41,64795,237723,23190,1046,3081
"14",12,17,180632,2810,35,60,96615,511059,20596,1949,3716
"15",17,18,1137,467,12,27,526,8044,1848,681,10
"16",53,19,240167,2734,47,344,114617,531867,25125,678,7007
"17",20,21,285032,609,42,3,21089,66801,21109,2455,2762
"18",33,23,194711,4753,119,150,49222,451904,33503,680,6086
"19",40,24,24755,661,7,81,7131,62822,3682,492,308
"20",41,25,162809,873,13,92,56585,358742,6154,423,6462
"21",38,28,178038,437,14,33,3801,12758,2308,346,758
"22",44,29,14087,543,10,72,4011,14090,4541,464,549
"23",34,30,199627,762,5,16,6743,18465,3735,890,654
"24",42,31,2683554,390,1,59,71120,530439,15540,1039,17180
"25",28,32,1669,2284,42,33,10370,20719,7503,995,722
"26",52,33,140466,1017,29,41,24648,146982,5044,834,1072
"27",16,36,21172,566,4,155,15740,50366,7510,1040,942
"28",49,40,46926,755,15,58,7340,53234,4489,590,676
"29",32,42,95879,2413,82,128,91218,355402,8977,711,4524
"30",51,43,4363,106,1,3,450,1564,683,133,78
"31",36,44,1707394,155,0,5,11931,58976,11465,819,4995
"32",65,45,102771,1088,238,76,36288,467962,10901,919,3527
"33",64,46,33647,2121,49,67,20343,70869,11915,1103,968
"34",43,48,10284,1093,28,31,9453,54587,4497,804,506
"35",46,50,9474,359,7,7,3712,9828,1510,153,360
"36",72,52,264738,22,3,0,3707,30584,153,58,1946
"37",35,54,40166,300,0,8,13611,90560,13483,760,2523
"38",30,55,98224,3049,12,131,78889,382083,19616,977,1664
"39",50,57,157177,3382,34,64,129269,345367,11618,1104,9680
"40",55,59,206862,683,9,19,37719,160939,27769,2400,3970
"41",59,63,8570,1499,58,35,8303,30396,6042,813,334
"42",26,66,1086,596,39,47,924,18598,2029,504,50
"43",60,68,70945,338,2,30,1704,43174,4896,372,133
"44",54,70,790864,2121,649,98,56573,171046,13335,100,8201
"45",57,71,1494,544,23,9,600,3210,1216,410,8
"46",24,72,6680,190,8,8,1168,4136,803,201,114
"47",63,76,139482,1587,29,18,13669,77176,6304,214,806
"48",58,77,47690,750,18,28,5765,30806,3422,493,371
"49",7,78,3593,1113,188,179,6615,17989,2474,646,232
"50",71,79,551608,1823,24,8,27889,117510,26007,796,3275
"51",18,80,6462,4,1,1,38,176,74,44,31
"52",25,81,72476,505,15,36,18482,116395,2293,199,1991
"53",56,84,16018,54,1,5,248,4487,296,46,76
"54",66,85,1683075,230,7504,10,28105,175392,1201,77,7154
"55",37,87,38593,377,16,25,29930,54775,1793,169,2356
"56",39,88,77467,2144,86,126,51786,315671,13656,907,2505
"57",31,89,294829,931,45,25,51263,154463,3373,542,4436
"58",45,90,59865,1470,86,100,43988,227032,7297,157,1910
"59",47,94,3648,908,22,13,1032,7672,2258,745,22
"60",61,95,13600,307,13,8,3763,6210,901,238,485
"61",62,96,30180,68,2,2,911,4710,455,12,245
"62",1,99,114492,599,16,15,10011,41006,2678,291,1104
"63",2,101,90472,3244,2365,57,71617,291918,9596,698,1146
"64",70,102,15825,165,9,5,1037,5740,1321,113,159
"65",5,103,170406,1094,19,30,30117,322262,8170,348,1053
"66",9,105,143976,133,26288,4,837,3621,788,58,287
