"","influencing.factor","Role","X.MS","X.CMS","X.CMS.by..MS"
"1","general","top",75142,3623,4.82153788826488
"2","general","occasional",21751,2880,13.2407705392856
"3","target","top",62214,3039,4.88475262802585
"4","target","occasional",17100,1424,8.32748538011696
"5","source","top",53812,2344,4.35590574593028
"6","source","occasional",8023,1974,24.6042627446092
"7","One","top",37553,472,1.25689026176337
"8","One","occasional",216,13,6.01851851851852
"9","MoreThanOne","top",37589,3151,8.38277155550826
"10","MoreThanOne","occasional",21535,2867,13.3132110517762
