"","influencing.factor","Role","X.MS","X.CMS","X.CMS.by..MS"
"1","general","top-top",44497,3070,6.89934152864238
"2","general","top-occ",15834,2496,15.7635467980296
"3","general","occ-top",57053,3084,5.40550014898428
"4","general","occ-occ",21195,2800,13.2106628921916
"5","target","top-top",23728,1579,6.65458530006743
"6","target","top-occ",11268,1164,10.3301384451544
"7","target","occ-top",31009,1880,6.06275597407204
"8","target","occ-occ",16188,1329,8.20978502594514
"9","source","top-top",11184,1678,15.0035765379113
"10","source","top-occ",4943,1597,32.3083147885899
"11","source","occ-top",18793,1933,10.2857446921726
"12","source","occ-occ",7679,1914,24.925120458393
"13","One","top-top",15135,294,1.94251734390486
"14","One","top-occ",37,2,5.40540540540541
"15","One","occ-top",22418,178,0.79400481755732
"16","One","occ-occ",179,11,6.14525139664805
"17","MoreThanOne","top-top",29362,2776,9.45439683945235
"18","MoreThanOne","top-occ",15797,2494,15.7878078116098
"19","MoreThanOne","occ-top",34635,2906,8.3903565757182
"20","MoreThanOne","occ-occ",21016,2789,13.270841263799
