,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,9,0,9,267,0,315,2,0,2,0
1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,3,0,3,27,0,27,1,0,1,0
2,2,2,1,1,1,0,1,1,0,2,2,0,3,3,1,1,72,70,2,0,279,275,4,9168,9358,44,15,14,1,0
3,0,0,0,4,0,4,4,4,4,0,0,0,2,0,2,0,3,0,3,0,5,0,5,126,0,708,3,0,3,0
4,0,0,0,4,0,4,4,4,4,0,0,0,4,0,4,0,7,0,7,0,14,0,14,15,0,15,5,0,5,0
5,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,3,0,3,0,5,0,5,5,0,5,1,0,1,0
6,1,0,1,6,0,6,7,7,6,0,0,0,7,0,7,0,7,0,7,0,11,0,11,278,0,496,9,0,9,0
7,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
8,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,1,0,2,1,1,2,1,1,1,1,1,0
9,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,7,1,6,0,11,2,9,65,2,63,4,2,2,0
10,2,0,2,5,0,5,7,7,6,0,0,0,7,0,7,0,24,0,24,0,340,0,340,476,0,628,21,0,21,0
11,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
12,1,0,1,2,0,2,3,3,2,0,0,0,3,0,3,0,5,0,5,0,12,0,12,312,0,312,4,0,4,0
13,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,9,9,0,1,1,0,0
14,4,3,1,3,3,0,2,1,1,5,5,0,7,6,1,0,20,7,13,0,58,8,50,2786,451,24489,25,8,17,0
15,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,1,0,4,1,3,20,5,15,2,1,1,0
16,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,6,6,0,1,1,0,0
17,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,1,1,1,1,11,9,2,20,18,2,2,1,1,0
18,1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,10,10,1,1,16,15,1,230,228,2,10,9,1,0
19,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,9,9,0,0,57,57,0,678,3207,0,10,10,0,0
20,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,78,0,156,2,0,2,0
21,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0,0
22,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
23,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,8,8,0,1,1,0,0
24,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
25,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,22,21,1,0,38,37,1,159,294,3,16,15,1,0
26,0,0,0,2,0,2,2,2,2,0,0,0,2,0,2,0,1,0,1,0,6,0,6,8,0,12,8,0,8,0
