,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
0,2,2,0,0,7,7,0,7,7,0,1,1,0,0
1,1,1,0,0,2,2,0,2,2,0,1,1,0,0
2,6,5,1,0,8,5,3,241,238,3,3,2,1,0
3,1,1,0,0,1,1,0,1,1,0,1,1,0,0
4,7,5,2,0,58,50,8,188,176,15,9,8,1,0
5,3,2,1,0,7,6,1,11,9,4,4,3,1,0
6,1,1,0,0,2,2,0,2,2,0,1,1,0,0
7,2,1,1,0,2,1,1,3,1,2,2,1,1,0
8,12,0,12,0,121,0,121,276,0,276,2,0,2,0
9,12,11,3,2,30,25,5,683,681,7,16,12,4,0
10,9,5,4,0,34,8,26,120,8,148,6,1,5,0
11,1,1,0,0,1,1,0,3,3,0,1,1,0,0
12,1,1,0,0,1,1,0,1,1,0,1,1,0,0
13,4,0,4,0,6,0,6,6,0,6,1,0,1,0
14,29,28,1,0,220,190,30,887,777,205,19,11,8,0
15,2,2,0,0,2,2,0,2,2,0,2,2,0,0
16,50,49,1,0,70,68,2,495,1070,5,13,11,2,0
17,3,3,0,0,52,52,0,135,155,0,4,4,0,0
18,8,8,0,0,14,14,0,19,19,0,9,9,0,0
19,4,0,4,0,8,0,8,20,0,20,3,0,3,0
20,1,1,0,0,1,1,0,1,1,0,1,1,0,0
21,4,4,1,1,13,11,2,74,70,4,5,4,1,0
22,8,8,0,0,23,23,0,58,85,0,6,6,0,0
23,13,13,0,0,169,169,0,812,825,0,3,3,0,0
24,28,28,0,0,2048,2048,0,19712,20556,0,20,20,0,0
25,2,1,1,0,2,1,1,2,1,1,2,1,1,0
26,9,9,0,0,22,22,0,64,64,0,8,8,0,0
27,1,1,0,0,1,1,0,1,1,0,1,1,0,0
28,1,1,1,1,4,3,1,8,14,2,3,2,1,0
29,19,19,0,0,50,50,0,73,73,0,2,2,0,0
30,3,3,1,1,10,9,1,33,31,2,5,4,1,0
31,11,9,2,0,17,15,2,101,138,5,9,8,1,0
32,4,4,0,0,15,15,0,130,130,0,2,2,0,0
33,3,2,1,0,6,5,1,20,19,1,2,1,1,0
34,3,2,1,0,5,2,3,8,5,3,4,2,2,0
35,1,1,0,0,1,1,0,1,1,0,1,1,0,0
36,14,12,3,1,37,34,3,222,407,112,13,11,2,0
37,3,3,0,0,3,3,0,22,22,0,2,2,0,0
38,47,2,45,0,286,27,259,755,133,813,19,1,18,0
39,141,141,1,1,448,447,1,1167,1261,5,21,20,1,0
40,80,80,1,1,1100,1100,1,7286,31980,4,170,169,1,0
41,13,11,2,0,29,20,9,982,2325,54,15,12,3,0
42,1,1,0,0,1,1,0,5,20,0,4,4,0,0
