Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Decision_tree,social,SVMSmote,0,0.87,0.98,0.88,0.93,0.78,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,1,0.87,0.23,0.69,0.34,0.78,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,0,0.86,0.98,0.87,0.92,0.78,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,1,0.86,0.21,0.69,0.33,0.78,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,0,0.86,0.98,0.87,0.92,0.77,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,1,0.86,0.22,0.68,0.33,0.77,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,0,0.83,0.99,0.83,0.90,0.8,0.83,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,1,0.83,0.19,0.77,0.31,0.8,0.83,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,0,0.87,0.98,0.88,0.93,0.78,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,1,0.87,0.23,0.69,0.34,0.78,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,0,0.86,0.98,0.87,0.92,0.78,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,1,0.86,0.22,0.69,0.33,0.78,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,0,0.86,0.98,0.87,0.92,0.77,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,SVMSmote,1,0.86,0.22,0.67,0.33,0.77,0.86,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
