Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.40,0.95,0.56,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.88,1.00,0.87,0.93,0.93,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.88,0.29,1.00,0.45,0.93,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.39,0.95,0.55,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.9,0.99,0.91,0.94,0.84,0.9,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.9,0.31,0.78,0.44,0.84,0.9,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.40,0.95,0.56,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.83,1.00,0.82,0.90,0.88,0.83,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.83,0.22,0.94,0.36,0.88,0.83,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.39,0.95,0.55,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.87,1.00,0.87,0.93,0.93,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.87,0.28,1.00,0.44,0.93,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.40,0.95,0.56,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.87,1.00,0.86,0.93,0.92,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.87,0.27,0.98,0.43,0.92,0.87,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.39,0.95,0.55,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.79,1.00,0.78,0.87,0.88,0.79,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.79,0.19,0.99,0.32,0.88,0.79,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.40,0.95,0.56,0.94,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,0,0.89,1.00,0.88,0.94,0.93,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,1,0.89,0.31,0.98,0.47,0.93,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.92,1.00,0.92,0.96,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,BorderlineSmote,1,0.92,0.39,0.95,0.55,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'best')"
