Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Decision_tree,tech,SVMSmote,0,0.93,1.00,0.93,0.96,0.93,0.93,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,1,0.93,0.40,0.93,0.56,0.93,0.93,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,0,0.94,0.96,0.97,0.97,0.66,0.94,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,1,0.94,0.40,0.34,0.37,0.66,0.94,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,0,0.92,1.00,0.92,0.96,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,1,0.92,0.39,0.94,0.55,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,0,0.89,0.97,0.92,0.94,0.68,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,1,0.89,0.22,0.44,0.29,0.68,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,0,0.93,1.00,0.93,0.96,0.93,0.93,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,1,0.93,0.40,0.93,0.56,0.93,0.93,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,0,0.89,0.97,0.91,0.94,0.73,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,1,0.89,0.24,0.55,0.34,0.73,0.89,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,tech,SVMSmote,0,0.92,1.00,0.92,0.96,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,1,0.92,0.39,0.94,0.55,0.93,0.92,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,tech,SVMSmote,0,0.91,0.97,0.93,0.95,0.71,0.91,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
