Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.92,0.97,0.94,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.94,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.92,0.32,0.46,0.37,0.7,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.92,0.97,0.94,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.94,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.92,0.97,0.95,0.96,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.92,0.30,0.44,0.36,0.69,0.92,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.91,0.30,0.53,0.38,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.91,0.30,0.54,0.38,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.91,0.30,0.53,0.38,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.91,0.30,0.53,0.38,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.71,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.91,0.27,0.50,0.35,0.71,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.91,0.29,0.54,0.37,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,1,0.91,0.29,0.54,0.37,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,1,0.91,0.29,0.54,0.37,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,SVMSmote,0,0.91,0.97,0.93,0.95,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,1,0.91,0.29,0.54,0.37,0.73,0.91,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,SVMSmote,0,0.9,0.97,0.93,0.95,0.72,0.9,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,1,0.9,0.27,0.51,0.35,0.72,0.9,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,SVMSmote,0,0.9,0.97,0.93,0.95,0.72,0.9,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
