Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,social,Adasyn,0,0.79,0.98,0.80,0.88,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Adasyn,1,0.79,0.14,0.61,0.23,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Adasyn,0,0.8,0.98,0.81,0.89,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Adasyn,1,0.8,0.14,0.61,0.23,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Adasyn,0,0.8,0.98,0.81,0.89,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Adasyn,1,0.8,0.15,0.61,0.24,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Adasyn,0,0.79,0.98,0.80,0.88,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Adasyn,1,0.79,0.14,0.61,0.23,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Adasyn,0,0.79,0.98,0.80,0.88,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Adasyn,1,0.79,0.14,0.61,0.23,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Adasyn,0,0.8,0.98,0.81,0.89,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Adasyn,1,0.8,0.14,0.61,0.23,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Adasyn,0,0.8,0.98,0.81,0.89,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Adasyn,1,0.8,0.15,0.61,0.24,0.71,0.8,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Adasyn,0,0.79,0.98,0.80,0.88,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Adasyn,1,0.79,0.14,0.61,0.23,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Adasyn,0,0.79,0.98,0.80,0.88,0.71,0.79,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
