,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,2,1,1,43,2,123,4,1,3,0
1,0,0,0,10,2,8,0,0,0,10,2,8,5,1,4,0,13,2,11,0,40,8,32,175,68,344,12,2,10,0
2,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,7,7,0,8,8,0,1,1,0,0
3,3,3,0,22,21,1,2,1,1,23,23,0,25,24,1,0,99,99,1,1,244,242,2,42339,46248,2,60,59,1,0
4,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,3,0,3,0,3,0,3,14,0,14,1,0,1,0
5,0,0,0,2,1,2,1,1,1,1,0,1,2,1,2,1,7,2,5,0,12,4,8,35,4,31,7,1,6,0
6,0,0,0,6,6,2,0,0,0,6,6,0,3,3,1,1,3,3,1,1,5,4,1,10,14,6,4,3,1,0
7,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,4,3,1,0,6,4,2,11,5,6,2,1,1,0
8,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,4,4,0,1,1,0,0
9,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,0,5,0,5,5,0,5,1,0,1,0
10,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,6,5,1,0,16,15,1,83,110,1,8,7,1,0
11,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,1,1,0,0,3,3,0,3,6,0,1,1,0,0
12,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,17,17,0,0,35,35,0,59,65,0,5,5,0,0
13,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,2,2,1,1,12,11,1,44,69,1,4,3,1,0
14,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
15,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
16,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,8,1,7,0,10,2,8,19,6,13,3,1,2,0
17,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,12,20,0,3,3,0,0
