,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
3,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,0
4,2,2,1,3,3,0,1,0,0,4,4,0,5,5,1,1,0
5,2,2,0,3,3,0,5,0,5,0,0,0,5,5,0,0,0
6,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
7,11,2,11,9,0,9,1,1,1,19,1,18,20,2,20,2,0
8,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
9,1,0,1,2,2,0,2,1,1,1,1,0,3,2,1,0,0
10,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
11,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
12,1,1,0,3,3,1,1,0,0,3,3,0,4,4,1,1,0
13,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
14,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
15,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
16,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
17,2,0,2,4,1,3,1,1,1,5,0,5,6,1,5,0,0
18,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,0
19,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
20,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
21,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
22,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
23,0,0,0,4,3,1,1,0,0,3,3,0,4,3,1,0,0
24,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
25,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
26,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
27,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
28,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
29,1,1,0,3,3,0,4,0,4,0,0,0,4,4,0,0,0
30,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
31,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
32,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
33,0,0,0,24,24,2,0,0,0,24,24,0,12,12,1,1,0
34,0,0,0,20,0,20,20,20,20,0,0,0,20,0,20,0,0
35,2,1,1,1,0,1,1,1,1,2,0,2,3,1,2,0,0
36,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,0
37,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
38,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
39,0,0,0,2,0,2,2,2,2,0,0,0,2,0,2,0,0
40,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
41,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
42,2,0,2,30,1,29,1,1,1,31,0,31,32,1,31,0,0
43,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
44,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
45,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
