,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
0,2,0,2,2,1,2,1,1,1,3,0,3,4,1,4,1,0
1,1,1,1,7,0,7,1,1,0,7,0,7,8,1,8,1,0
2,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
3,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
4,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
5,0,0,0,3,3,1,1,0,0,2,2,0,3,3,1,1,0
6,1,1,0,4,4,0,5,1,5,0,0,0,5,5,0,0,0
7,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
8,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
9,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
10,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
11,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,0
12,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
13,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
14,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,0
15,2,2,0,2,0,2,0,0,0,4,2,2,2,1,1,0,0
16,2,2,0,2,2,0,4,1,4,0,0,0,4,4,0,0,0
17,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
18,2,0,2,1,0,1,3,3,2,0,0,0,3,0,3,0,0
19,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,0
20,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
21,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
22,0,0,0,24,24,2,0,0,0,24,24,0,12,12,1,1,0
23,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
24,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
25,0,0,0,2,2,1,2,1,1,0,0,0,2,2,1,1,0
26,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
27,2,2,0,8,8,0,10,1,10,0,0,0,10,10,0,0,0
28,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
29,3,3,0,2,2,0,5,1,5,0,0,0,5,5,0,0,0
30,4,4,0,11,10,1,1,0,0,14,14,0,15,14,1,0,0
31,4,4,0,3,3,0,7,0,7,0,0,0,7,7,0,0,0
32,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
33,2,0,2,4,0,4,6,6,6,0,0,0,6,0,6,0,0
34,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
35,1,1,0,5,5,1,1,0,0,5,5,0,6,6,1,1,0
36,3,0,3,5,0,5,8,8,8,0,0,0,8,0,8,0,0
37,1,0,1,2,0,2,3,3,2,0,0,0,3,0,3,0,0
38,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
39,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
40,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
41,1,1,0,52,52,1,1,0,0,52,52,0,53,53,1,1,0
42,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
43,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
44,6,6,0,23,22,1,1,0,0,28,28,0,29,28,1,0,0
45,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
46,4,0,4,9,0,9,13,13,13,0,0,0,13,0,13,0,0
47,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
48,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
49,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,0
50,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
51,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
52,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
53,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
54,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
55,2,2,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0
56,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
57,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
58,2,1,1,7,2,5,1,1,1,8,2,6,9,3,6,0,0
59,0,0,0,4,4,0,4,0,4,0,0,0,2,2,0,0,0
60,5,5,1,36,36,0,1,0,0,40,40,0,41,41,1,1,0
61,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
62,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
63,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
64,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
65,1,0,1,2,2,0,2,1,1,1,1,0,3,2,1,0,0
66,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
67,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
68,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
69,3,1,2,6,0,6,2,1,1,7,0,7,9,1,8,0,0
70,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,0
71,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
72,2,2,0,6,6,1,1,0,0,7,7,0,8,8,1,1,0
73,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
74,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
