,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
0,1,1,0,0,1,1,0,5,5,0,1,1,0,0
1,1,1,0,0,1,1,0,3389,6778,0,1,1,0,0
2,1,0,1,0,12,0,12,60,0,60,1,0,1,0
3,1,1,1,1,7,5,2,13,6,7,2,1,1,0
4,2,1,1,0,5,4,1,65,31,34,1,1,1,0
5,1,1,0,0,1,1,0,1,1,0,1,1,0,0
6,1,1,0,0,2,2,0,8,8,0,1,1,0,0
7,3,1,2,0,6,1,5,36,1,35,2,1,1,0
8,4,4,0,0,4,4,0,5,5,0,3,3,0,0
9,1,1,0,0,2,2,0,2,2,0,2,2,0,0
10,1,1,0,0,4,4,0,36,36,0,1,1,0,0
11,3,2,1,0,4,3,1,10,9,1,2,1,1,0
12,6,6,0,0,23,23,0,208,647,0,12,12,0,0
13,3,3,0,0,3,3,0,3,3,0,1,1,0,0
14,20,10,1,1,322,156,5,642,316,5,2,1,1,0
15,2,2,0,0,11,11,0,33,33,0,1,1,0,0
16,3,3,0,0,5,5,0,138,138,0,2,2,0,0
17,1,0,1,0,2,0,2,6,0,6,1,0,1,0
18,3,1,2,0,6,1,5,90,56,34,2,1,1,0
19,2,2,0,0,62,62,0,198,257,0,3,3,0,0
20,4,3,1,0,5,4,1,8,6,2,4,3,1,0
21,18,18,1,1,167,31,136,2066,3678,500,14,13,1,0
22,25,12,14,1,198,98,100,1115,769,515,12,6,6,0
23,41,3,38,0,57,19,38,117,73,44,5,2,3,0
24,1,1,0,0,1,1,0,2,4,0,1,1,0,0
25,1,1,0,0,3,3,0,4,6,0,4,4,0,0
26,1,1,0,0,1,1,0,21,42,0,1,1,0,0
27,1,1,0,0,1,1,0,1,1,0,1,1,0,0
28,1,1,0,0,1,1,0,1,1,0,1,1,0,0
29,4,4,0,0,9,9,0,9,9,0,1,1,0,0
30,8,8,0,0,12,12,0,280,498,0,10,10,0,0
31,1,1,0,0,1,1,0,1,1,0,1,1,0,0
32,1,1,0,0,2,2,0,2,2,0,1,1,0,0
33,15,13,2,0,34,32,2,342,400,2,19,17,2,0
34,1,1,0,0,1,1,0,1,1,0,1,1,0,0
35,96,96,2,2,311,309,2,1004,1252,7,44,43,1,0
36,2,2,0,0,2,2,0,2,2,0,1,1,0,0
37,1,1,0,0,4,4,0,13,13,0,1,1,0,0
38,526,3,525,2,3748,8,3740,57093,272,226553,984,1,983,0
39,5,2,3,0,21,15,6,178,42,248,3,1,2,0
40,23,23,0,0,71,71,0,499,857,0,26,26,0,0
41,3,2,1,0,7,4,3,18,7,11,3,2,1,0
42,1,1,0,0,4,4,0,6,6,0,1,1,0,0
43,24,22,2,0,46,44,2,861,1396,127,4,4,1,0
44,4,0,4,0,5,0,5,5,0,5,1,0,1,0
45,3,1,2,0,3,1,2,14,1,24,3,1,2,0
46,5,4,1,0,6,5,1,6,5,1,6,5,1,0
47,206,1,205,0,762,3,759,26822,9840,28117,69,9,60,0
48,35,35,0,0,353,353,0,1226,1390,0,38,38,0,0
49,6,6,3,3,16,12,4,61,50,11,8,5,3,0
50,7,1,6,0,20,1,19,120,2,118,2,1,1,0
51,1,1,0,0,1,1,0,1,1,0,1,1,0,0
52,16,2,14,0,22,5,17,55,6,49,4,1,3,0
53,1,1,0,0,1,1,0,5,5,0,1,1,0,0
54,2,2,0,0,13,13,0,44,44,0,1,1,0,0
55,1,1,1,1,4,3,1,4,3,1,4,3,1,0
56,1,1,0,0,5,5,0,8,8,0,3,3,0,0
57,1,1,0,0,1,1,0,78,156,0,2,2,0,0
58,3,3,0,0,7,7,0,74,96,0,2,2,0,0
59,40,38,2,0,66,61,5,578,646,39,6,5,1,0
60,1,1,0,0,1,1,0,1,1,0,1,1,0,0
61,1,1,0,0,1,1,0,1,1,0,1,1,0,0
62,5,4,1,0,8,6,2,12,6,6,3,2,1,0
63,1,0,1,0,6,0,6,43,0,43,1,0,1,0
64,28,27,1,0,70,69,1,953,494,459,1,1,1,0
65,5,5,0,0,11,11,0,87,87,0,1,1,0,0
