Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.33,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,0,0.91,0.97,0.93,0.95,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Adasyn,1,0.91,0.28,0.50,0.36,0.72,0.91,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.33,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Adasyn,0,0.9,0.97,0.93,0.95,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Adasyn,1,0.9,0.26,0.48,0.34,0.7,0.9,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Adasyn,0,0.89,0.98,0.91,0.94,0.76,0.89,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
