Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.89,0.24,0.58,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.89,0.24,0.57,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.89,0.24,0.57,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.89,0.24,0.58,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.89,0.24,0.58,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.89,0.24,0.57,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.89,0.24,0.57,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.89,0.98,0.90,0.94,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.89,0.24,0.58,0.34,0.74,0.89,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.87,0.97,0.89,0.93,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,1,0.87,0.21,0.56,0.31,0.73,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.86,0.22,0.68,0.34,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.86,0.22,0.68,0.34,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.86,0.22,0.68,0.34,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.86,0.22,0.68,0.34,0.78,0.86,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.85,0.19,0.64,0.30,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.85,0.19,0.64,0.30,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.85,0.19,0.64,0.30,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,1,0.85,0.19,0.64,0.30,0.75,0.85,"('n_neighbors:', 3, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.86,0.22,0.67,0.33,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.86,0.22,0.67,0.33,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.86,0.22,0.67,0.33,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.86,0.22,0.67,0.33,0.77,0.86,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.84,0.19,0.64,0.29,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.84,0.19,0.64,0.29,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.84,0.19,0.64,0.29,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,1,0.84,0.19,0.64,0.29,0.75,0.84,"('n_neighbors:', 3, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.86,0.22,0.69,0.34,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.86,0.23,0.69,0.34,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.86,0.22,0.69,0.34,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.86,0.22,0.69,0.34,0.78,0.86,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.85,0.20,0.66,0.30,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.85,0.20,0.66,0.30,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.85,0.20,0.66,0.30,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.85,0.98,0.86,0.91,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,1,0.85,0.20,0.66,0.30,0.76,0.85,"('n_neighbors:', 5, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,1,0.86,0.21,0.68,0.33,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.86,0.21,0.68,0.33,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.86,0.21,0.68,0.32,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,both,Both,0,0.86,0.98,0.87,0.92,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,1,0.86,0.21,0.68,0.33,0.77,0.86,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,1,0.84,0.19,0.65,0.29,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,1,0.84,0.19,0.65,0.29,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,both,Both,0,0.84,0.98,0.85,0.91,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,both,Both,1,0.84,0.19,0.65,0.29,0.75,0.84,"('n_neighbors:', 5, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
