Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,1,0.86,0.18,0.52,0.27,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.50,0.28,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.50,0.28,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,BorderlineSmote,1,0.86,0.18,0.52,0.27,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,1,0.86,0.18,0.52,0.27,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.49,0.27,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.49,0.27,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,BorderlineSmote,1,0.86,0.18,0.52,0.27,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,1,0.86,0.18,0.52,0.27,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.50,0.28,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,BorderlineSmote,0,0.87,0.97,0.89,0.93,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,1,0.87,0.19,0.50,0.28,0.69,0.87,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,BorderlineSmote,0,0.86,0.97,0.88,0.92,0.7,0.86,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'brute')"
