Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Decision_tree,social,Under,0,0.7,1.00,0.69,0.81,0.82,0.7,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Under,1,0.7,0.14,0.95,0.24,0.82,0.7,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Over,0,0.62,1.00,0.60,0.75,0.8,0.62,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Over,1,0.62,0.12,0.99,0.21,0.8,0.62,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Both,0,0.84,0.99,0.85,0.91,0.82,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 2, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,Both,1,0.84,0.21,0.80,0.34,0.82,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 2, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,Smote,0,0.63,1.00,0.62,0.76,0.78,0.63,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Smote,1,0.63,0.12,0.95,0.21,0.78,0.63,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,0,0.78,0.99,0.78,0.87,0.83,0.78,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,1,0.78,0.17,0.87,0.29,0.83,0.78,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 5, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,0,0.78,0.99,0.77,0.87,0.82,0.78,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 10, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,SVMSmote,1,0.78,0.17,0.86,0.28,0.82,0.78,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 10, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Adasyn,0,0.67,1.00,0.65,0.79,0.81,0.67,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,Adasyn,1,0.67,0.13,0.96,0.22,0.81,0.67,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Under,0,0.88,1.00,0.87,0.93,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 3, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Under,1,0.88,0.30,1.00,0.46,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 3, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Over,0,0.88,1.00,0.88,0.93,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 5, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Over,1,0.88,0.30,1.00,0.46,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 5, ' min_samples_split:', 5, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Both,0,0.88,1.00,0.88,0.93,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Both,1,0.88,0.30,1.00,0.46,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Smote,0,0.88,1.00,0.88,0.93,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,Smote,1,0.88,0.30,1.00,0.46,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,tech,BorderlineSmote,0,0.88,1.00,0.88,0.93,0.94,0.88,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 2, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'random')"
